rule_id,rule_text,variables,branch_hints,contains_path_like_text,expected_scope,confidence
R0019,"Engine type: A subdivision within a vehicle type that represents the propulsion technology or drive type, such as ICE, BEV, or PHEV. In the document, engine type is important because it affects energy efficiency, turnover patterns, and the resulting energy use of each vehicle segment.",,ICE | HEV | PHEV | BEV,False,engine_type,medium
R0020,"Stock: the total number of vehicles in that transport type. At this top level LEAP also shows a second stock field in Current Accounts, we think that is just a bug.",Stock,,False,transport_type,medium
R0021,"Sales: the total new sales entering the whole transport type. In projection scenarios this is the highest-level sales control for the road model, and the sales are then distributed to child branches using sales shares.",Sales Share | Sales,,False,transport_type,medium
R0022,Retirements: the total number of vehicles leaving stock in that transport type. Calculated.,Stock,,False,transport_type,medium
R0023,Stock: the total number of vehicles in that vehicle type.,Stock,,False,vehicle_type,medium
R0024,Stock Share: the share of the parent transport type’s stock allocated to this vehicle type. In Current Accounts this helps set the base-year split across vehicle types.,Stock,,False,vehicle_type,medium
R0025,Sales: the number of new sales for that vehicle type. Calculated.,Sales,,False,vehicle_type,medium
R0026,Sales Share: the share of the parent transport type’s sales allocated to this vehicle type. In projection scenarios this is usually the main control at this level.,Sales Share | Sales,,False,vehicle_type,medium
R0027,Retirements: the number of vehicles of this type leaving stock. Calculated.,Stock,,False,general,medium
R0028,"Note: LEAP may also show some engine-type settings from this level through the tabs, but the main variables to set here are usually the stock and sales shares.",Stock | Sales Share | Sales,,False,general,medium
R0029,First Sales Year: the first year in which LEAP allows sales for that branch. Sales before this year are ignored.,Sales,,False,general,medium
R0030,Stock: the total number of vehicles with that engine type. Calculated.,Stock,,False,engine_type,medium
R0031,Stock Share: the share of the parent vehicle type’s stock allocated to this engine type.,Stock,,False,engine_type,medium
R0032,Sales: the number of new sales for that engine type. Calculated.,Sales,,False,engine_type,medium
R0033,Sales Share: the share of the parent vehicle type’s sales allocated to this engine type.,Sales Share | Sales,,False,engine_type,medium
R0034,Retirements: the number of vehicles of this engine type leaving stock. Calculated.,Stock,,False,engine_type,medium
R0035,Scrappage: additional early retirements beyond the normal survival profile.,,Age,False,general,medium
R0036,Fraction of Scrapped Replaced: the share of scrapped vehicles that is assumed to be replaced with new sales.,Sales,,False,general,medium
R0037,Max Scrappage Fraction: an upper limit on the share of the stock that can be scrapped in a year.,Stock,Age,False,general,high
R0038,"Note: Fuel economy and mileage settings can also be viewed from this level, but they are usually set at the fuel branches.",Mileage | Fuel Economy,Age,False,fuel_branch,high
R0039,"Device Share: the share of vehicles in the engine type that use a given fuel. Across the fuels under one engine type, these shares should sum to 100%.",Device Share,ICE,False,engine_type,high
R0040,Fuel Economy: the base energy consumption per 100 km for vehicles using that fuel.,Fuel Economy,,False,general,medium
R0041,Fuel Economy Correction Factor: a multiplier used to adjust the base fuel economy.,Fuel Economy,,False,general,medium
R0042,Final On-Road Fuel Economy: the effective fuel economy used by LEAP after the correction factor is applied.,Final On-Road Fuel Economy | Fuel Economy,,False,general,medium
R0043,Mileage: the annual distance travelled per vehicle.,Mileage,Age,False,general,high
R0044,Mileage Correction Factor: a multiplier used to adjust the mileage assumption.,Mileage,Age,False,general,high
R0045,Average Mileage: the average annual distance travelled by vehicles on that fuel after the profile effects are applied.,Mileage | Average Mileage,Age,False,general,high
R0046,Final On-Road Mileage: the effective mileage used by LEAP in the final calculation.,Mileage | Final On-Road Mileage,Age,False,general,high
R0047,"Here, for current accounts you will need to set the Stock Vintage profile:",Stock,Age,False,current_accounts_context,high
R0048,And for Sales and sales share:,Sales Share | Sales,,False,general,medium
R0049,And for Mileage and efficiency,Mileage,Age,False,general,high
R0050,Every economy will likely need a different vintage and survival profile built to achieve the sales trend that is desired. So running the code in  codebase/lifecycle_profile_workflow.py in the leap_transport repo will help you produce those.,Sales,Age,False,lifecycle_profile,high
R0051,"Then to import them, highlight the values only (don’t include the column name) and insert a name, such as ‘vintage’ then press ‘enter’. This makes that set of data accessible by leap via that name.",,Age,False,lifecycle_profile,medium
R0052,"Then create a new profile and import ‘vintage’ (you need to have the file with the values you want as the most recently clicked excel file, and perhaps even close other excel files if its not working)",,Age,False,lifecycle_profile,medium
R0053,"In addition to what is already in this sector in the balances, This sector in LEAP is an aggregation of energy that is recorded in all transport sub-sectors in the ESTO dataset, but which seemed unlikely to be realistic, such as kerosene, gasoline and coal product usage in the rail sector. Recategorizing these fuel types allows us to avoid having to consider them in the more detailed modelling that goes on outside the non-specified sector.  It will be important to be clear about all mappings relating to this sector, since they can otherwise cause issues and confusion.",,Age,False,general,medium
R0054,"This section stays practical rather than exhaustive. If anything is unclear, the repo scripts themselves are usually the best reference, especially `transport_workflow.py`, `lifecycle_profile_workflow.py`, and `sales_workflow.py`.",Sales,,False,lifecycle_profile,medium
R0055,Set stage behavior:,,Age,False,general,medium
R0056,"- `RUN_OUTPUT_MODE`: `""full""` logs or `""stage_economy""` concise logs.",,Age,False,general,medium
R0057,"- `CHECKPOINT_LOAD_STAGE`: `""none""`, `""halfway""`, `""three_quarter""`, or `""export""`.",,Age,False,general,medium
R0058,Set sales/policy behavior:,Sales,,False,general,medium
R0059,"- `SALES_MODE`: `""none""`, `""passenger""`, `""freight""`, or `""both""`.",Sales,,False,general,medium
R0060,- `SCENARIO_SALES_POLICY_SETTINGS`: optional scenario-level turnover policy overrides.,Sales,,False,general,medium
R0061,- `results/passenger_sales_<economy>_<scenario>.csv`,Sales,,False,general,medium
R0062,- `results/freight_sales_<economy>_<scenario>.csv`,Sales,,False,general,medium
R0063,Setting lifecycle/sales behavior,Sales,,False,lifecycle_profile,medium
R0064,Each economy may require different survival/vintage assumptions to produce the intended sales trajectory.,Sales,Age,False,lifecycle_profile,high
R0065,- Sales/turnover behavior testing is handled in `codebase/sales_workflow.py`.,Sales,,False,general,medium
R0066,Use these to tune survival/vintage assumptions before final LEAP export runs.,,Age,False,lifecycle_profile,medium
R0067,"1. Set `RUN_PROFILE = ""reconcile_only""` (or `""full""` to run both stages).",,Age,False,general,medium
R0068,I put it here in LEAP (this is the branch path you’d see when exporting it to excel) Demand\Transport non road\International transport\Air\Bio jet kerosene,,,True,general,low
R0069,"Extract all transport branches from leap like so (should be transport non road, freight road and passenger road). The economy is unimportant, assuming that all branch structures are the same across all regions in leap. Also include all scenario you are using in leap:",,Passenger road | Freight road,False,general,medium
R0070,Demand\Transport non road\Nonspecified transport\Coal products nonspecified,,,True,general,low
R0071,Updating the template/export structure so Demand\Transport non road\Nonspecified transport\Coke oven coke exists in the LEAP import layout,,,True,general,low
R0072,"And then I made sure the mappings in the leap_utilities (managed by the modelling coordinator) for leap-to-esto and leap-to-ninth and esto-to-ninth contained this fuel/sector combo. NOTE, I didn’t add the ship_lubricants_POST_HOC_ADDITION, 07_x_lubricants_POST_HOC_ADDITION sector fuels combo but the actual one that represents this use from 9th which is … FINN WILL UPDATED",,Age,False,general,medium
R0073,"So I ran that in ChatGPT’s Agent, Codex. To summarise:",,Age,False,general,medium
R0074,Demand\Transport non road\Nonspecified transport\Aviation gasoline,,,True,general,low
R0075,Demand\Transport non road\Nonspecified transport\Kerosene type jet fuel,,,True,general,low
R0076,Demand\Transport non road\Nonspecified transport\Kerosene,,,True,general,low
